Wardcode,WardName,L_AuthCode,L_AuthName
E05012968,Bicester South and Ambrosden,E07000177,Cherwell
E05012969,Fringford and Heyfords,E07000177,Cherwell
E05006545,Barton and Sandhills,E07000178,Oxford
E05006546,Blackbird Leys,E07000178,Oxford
E05006547,Carfax,E07000178,Oxford
E05006548,Churchill,E07000178,Oxford
E05006549,Cowley,E07000178,Oxford
E05006550,Cowley Marsh,E07000178,Oxford
E05006551,Headington,E07000178,Oxford
E05006552,Headington Hill and Northway,E07000178,Oxford
E05006553,Hinksey Park,E07000178,Oxford
E05006554,Holywell,E07000178,Oxford
E05006555,Iffley Fields,E07000178,Oxford
E05006556,Jericho and Osney,E07000178,Oxford
E05006557,Littlemore,E07000178,Oxford
E05006558,Lye Valley,E07000178,Oxford
E05006559,Marston,E07000178,Oxford
E05006560,North,E07000178,Oxford
E05006561,Northfield Brook,E07000178,Oxford
E05006562,Quarry and Risinghurst,E07000178,Oxford
E05006563,Rose Hill and Iffley,E07000178,Oxford
E05006564,St Clement's,E07000178,Oxford
E05006565,St Margaret's,E07000178,Oxford
E05006566,St Mary's,E07000178,Oxford
E05011718,Thames,E07000180,Vale of White Horse
E05006567,Summertown,E07000178,Oxford
E05006568,Wolvercote,E07000178,Oxford
E05009733,Benson & Crowmarsh,E07000179,South Oxfordshire
E05011719,Wootton,E07000180,Vale of White Horse
E05012970,Abingdon Dunmore,E07000180,Vale of White Horse
E05012971,Abingdon Peachcroft,E07000180,Vale of White Horse
E05012972,Botley & Sunningwell,E07000180,Vale of White Horse
E05012973,Faringdon,E07000180,Vale of White Horse
E05012974,Grove North,E07000180,Vale of White Horse
E05012975,Hendreds,E07000180,Vale of White Horse
E05012976,Kennington & Radley,E07000180,Vale of White Horse
E05012977,Marcham,E07000180,Vale of White Horse
E05012978,Wantage & Grove Brook,E07000180,Vale of White Horse
E05012979,Wantage Charlton,E07000180,Vale of White Horse
E05012980,Watchfield & Shrivenham,E07000180,Vale of White Horse
E05012992,Kingston Bagpuize,E07000180,Vale of White Horse
E05006627,Alvescot and Filkins,E07000181,West Oxfordshire
E05006628,Ascott and Shipton,E07000181,West Oxfordshire
E05006629,Bampton and Clanfield,E07000181,West Oxfordshire
E05006632,Carterton North East,E07000181,West Oxfordshire
E05006634,Carterton South,E07000181,West Oxfordshire
E05006637,Chipping Norton,E07000181,West Oxfordshire
